visit,frmid,fov,date_obs,tai_s,boresight_ra_deg,boresight_dec_deg,roll_deg,mars_ra_deg,mars_dec_deg,offset_arcsec,offset_east_arcsec,offset_north_arcsec,offset_across_slit_arcsec,offset_along_slit_arcsec,t_min
Visit4,4986,5x5MR,2025-01-27T05:19:21.000,791270398.0,114.143216,25.951211,155.155903,114.13964166463934,25.950502506027682,11.847957858145566,-11.570127928889692,-2.5505783003467286,9.427736257606105,7.175729859330833,99.58333333333333
Visit4,4987,5x5MR,2025-01-27T05:22:06.000,791270563.0,114.143,25.949747,155.154944,114.13892035934144,25.950595284668925,13.554413532810003,-13.205966011083083,3.053824808134209,13.266831638520095,2.7775101295620477,102.33333333333333
Visit5,5029,5x5MR,2025-02-03T03:58:41.000,791870358.0,111.76718,26.199609,162.119251,111.77047476803041,26.19775752710017,12.55755774561689,10.642565225869257,-6.665302439387233,-12.174997601296418,3.075692540519846,0.0
Visit5,5030,5x5MR,2025-02-03T04:01:26.000,791870523.0,111.769267,26.197363,162.117547,111.76990150234136,26.19780146162266,2.5869400315828694,2.0495715438664797,1.5784618415793261,-1.4658629825318623,-2.131556007988534,2.75
Visit5,5031,5x5MR,2025-02-03T04:04:11.000,791870688.0,111.767502,26.19947,162.118296,111.76932828368226,26.197845383461125,8.307041472965622,5.899160800262338,-5.84861953995528,-7.4100217214700965,3.754733913054273,5.5
Visit5,5032,5x5MR,2025-02-03T04:06:56.000,791870853.0,111.766283,26.19757,162.119549,111.76875511205314,26.197889292616612,8.067703712257273,7.98541026686462,1.1494534198064343,-7.246789805362981,-3.5457097753959994,8.25
Visit5,5033,5x5MR,2025-02-03T04:09:41.000,791871018.0,111.766732,26.197827,162.118654,111.76818198745399,26.19793318908909,4.699308624648103,4.683735566867529,0.38228072071717634,-4.3401069397568985,-1.8019403878169642,11.0
Visit5,5034,5x5MR,2025-02-03T04:12:25.000,791871182.0,111.817757,26.218368,162.128006,111.76761238295617,26.197976806956817,177.82168997218136,-161.9480794057174,-73.40829495546615,131.60482024296525,119.56642287986237,13.733333333333333
Visit5,5035,5x5MR,2025-02-03T04:15:10.000,791871347.0,111.77229,26.199177,162.120319,111.76703935214698,26.19802067814327,17.463861051347784,-16.96039570976948,-4.162758684226731,14.863218740264635,9.168877312633114,16.483333333333334
Visit5,5036,5x5MR,2025-02-03T04:17:55.000,791871512.0,111.770934,26.198311,162.115455,111.76646636837772,26.198064536649724,14.458506089422949,-14.431240836361813,-0.8872680609940176,13.461404012820525,5.276225800016178,19.233333333333334
Visit5,5037,5x5MR,2025-02-03T04:20:40.000,791871677.0,111.769109,26.195494,162.117357,111.76589343165844,26.198108382475173,14.01681462814592,-10.38710609942192,9.411776910621938,12.775337347988136,-5.767518823641911,21.983333333333334
Visit5,5038,5x5MR,2025-02-03T04:23:25.000,791871842.0,111.767641,26.199429,162.118723,111.76532054198914,26.198152215622606,8.792555285499416,-7.495418093640262,-4.596423758611934,5.722038471389778,6.675828001015109,24.733333333333334
Visit5,5039,5x5MR,2025-02-03T05:32:16.000,791875973.0,111.749202,26.199194,162.116593,111.75099280940891,26.199245507234505,5.787557528837236,5.784587470353735,0.18542604422151499,-5.448154909055615,-1.9528039089940028,93.58333333333333
Visit5,5040,5x5MR,2025-02-03T05:35:01.000,791876138.0,111.748756,26.200737,162.120057,111.75042114559889,26.199289010448815,7.490168038714573,5.378602927107688,-5.2127623842650905,-6.719267299280707,3.309638663527698,96.33333333333333
Visit5,5041,5x5MR,2025-02-03T05:37:46.000,791876303.0,111.748508,26.200553,162.119688,111.74984952889879,26.199332500999123,6.171147401338063,4.333292337343961,-4.3937964031542265,-5.473019758099187,2.851126801934777,99.08333333333333
Visit5,5042,5x5MR,2025-02-03T05:40:31.000,791876468.0,111.747276,26.199304,162.12161,111.74927795931868,26.199375978885435,6.471815755000967,6.466627768256884,0.25912398755991717,-6.074805533332997,-2.2318507267079406,101.83333333333333
Visit5,5043,5x5MR,2025-02-03T05:43:15.000,791876632.0,111.750354,26.203814,162.126463,111.74870990048993,26.19941918072098,16.688839867085054,-5.310481403525966,-15.821349404475882,0.1983354210120467,16.687629333625445,104.56666666666666
Visit7,5143,5x5MR,2025-02-17T04:41:11.000,793082508.0,108.929603,26.221003,168.080227,108.9308081083048,26.221641090657624,4.51929279604099,3.891954244681497,2.297126367446367,-3.333582258899297,-3.051446659187004,0.0
